ABUS-US,ACST-CA,ADVZ-CA,AEZS-CA,AKU-CA,APS-CA,AQS-CA,ARCH-CA,ASG-CA,ASP-CA,ATE-CA,AUP-CA,BCT-CA,BHC-US,BLU-CA,BNKL-US,BTI-CA,CHH-CA,CORV-CA,COV-CA,CPH-CA,CRDL-CA,CRH-CA,CTTH-US,CTX-CA,CZO-CA,DR-CA,EBM-CA,EDT-CA,EPI-CA,ETBI-US,FRX-CA,GSD-CA,GTMS-CA,GUD-CA,HBP-CA,HLS-CA,HSDT-US,HTL-CA,ICO-CA,IDL-CA,IGXT-US,IMV-CA,IN-CA,IPA-CA,JWEL-CA,KLY-CA,KNE-CA,LMNL-CA,MDNA-CA,MDP-CA,MDX-CA,MIMI-CA,MIR-CA,MIST-US,MPH-CA,NGEN-CA,NRI-CA,NSHS-CA,NVCN-CA,NVLNF-US,ONCY-USA,OPS-CA,PMN-CA,PRN-CA,PTQ-CA,QPT-CA,RVX-CA,RX-CA,SBM-CA,SQD-CA,SVA-CA,TBP-CA,TH-CA,TLT-CA,TMD-CA,VBIV-US,VMD-CA,XENE-US,ZYME-US
0.0178,,,,,0.0902,,,,,,0.1939,,0.4533,0.0723,,,,,,,,0.0944,,,,,,,,,0.0001,,,0.0524,,,0.0008,,,,,,,,0.1351,,,,,,,,,,,,,,,,0.0017,,,0.0137,,,,,,,,,0.0273,,0.0017,0.0434,0.1191,0.4324,0.5112
0.017,,,,,0.0878,,,,,,0.1745,,0.4479,0.0628,,,,,,,,0.0924,,,,,,,,,0.0001,,,0.0477,,,0.0005,,,,,,,,0.1344,,,,,,,,,,,,,,,,0.0016,,,0.0108,,,,,,,,,0.027,,0.0017,0.043,0.1132,0.4075,0.51
0.017,,,,,0.0838,,,,,,0.1739,,0.4441,0.0616,,,,,,,,0.0915,,,,,,,,,0.0001,,,0.0437,,,0.0005,,,,,,,,0.1273,,,,,,,,,,,,,,,,0.0013,,,0.0093,,,,,,,,,0.0255,,0.0015,0.0395,0.112,0.405,0.4993
0.0169,,,,,0.0722,,,,,,0.1713,,0.4395,0.0526,,,,,,,,0.089,,,,,,,,,,,,0.0388,,,0.0004,,,,,,,,0.1258,,,,,,,,,,,,,,,,0.0012,,,0.0084,,,,,,,,,0.0239,,0.0008,0.0393,0.1108,0.3174,0.4542
0.0156,,,,,0.06,,,,,,0.1667,,0.4182,0.0488,,,,,,,,0.0871,,,,,,,,,,,,0.038,,,0.0002,,,,,,,,0.121,,,,,,,,,,,,,,,,0.0005,,,0.0081,,,,,,,,,0.0234,,0.0006,0.0379,0.1031,0.3048,0.4112
0.0145,,,,,0.0431,,,,,,0.1398,,0.3911,0.0469,,,,,,,,0.0851,,,,,,,,,,,,0.0369,,,0.0002,,,,,,,,0.1126,,,,,,,,,,,,,,,,0.0003,,,0.0075,,,,,,,,,0.0207,,0.0006,0.0369,0.091,0.2719,0.3942
0.0144,,,,,0.0397,,,,,,0.1396,,0.3873,0.0365,,,,,,,,0.0684,,,,,,,,,,,,0.0368,,,0.0001,,,,,,,,0.095,,,,,,,,,,,,,,,,0,,,0.0075,,,,,,,,,0.0195,,0.0004,0.0323,0.0816,0.2533,0.3623
0.0079,,,,,0.0382,,,,,,0.1312,,0.3781,0.0349,,,,,,,,0.0641,,,,,,,,,,,,0.0345,,,0.0001,,,,,,,,0.0772,,,,,,,,,,,,,,,,,,,0.0071,,,,,,,,,0.0192,,0.0003,0.0316,0.0806,0.2047,0.3423
0.0058,,,,,0.0372,,,,,,0.1303,,0.3699,0.0334,,,,,,,,0.0499,,,,,,,,,,,,0.0343,,,0.0001,,,,,,,,0.0649,,,,,,,,,,,,,,,,,,,0.0047,,,,,,,,,0.0189,,0.0003,0.031,0.0798,0.1858,0.3182
0.0044,,,,,0.0283,,,,,,0.109,,0.3507,0.0314,,,,,,,,0.0489,,,,,,,,,,,,0.0325,,,0,,,,,,,,0.0633,,,,,,,,,,,,,,,,,,,0.0044,,,,,,,,,0.0182,,0.0002,0.0302,0.067,0.1816,0.3107
0.0043,,,,,0.0229,,,,,,0.1069,,0.3456,0.0293,,,,,,,,0.0477,,,,,,,,,,,,0.0299,,,,,,,,,,,0.059,,,,,,,,,,,,,,,,,,,0.0019,,,,,,,,,0.0166,,0.0002,0.0298,0.0598,0.1675,0.2921
0.0042,,,,,0.0186,,,,,,0.1048,,0.3422,0.0166,,,,,,,,0.0439,,,,,,,,,,,,0.0232,,,,,,,,,,,0.0474,,,,,,,,,,,,,,,,,,,0.0012,,,,,,,,,0.0166,,0.0002,0.0284,0.0588,0.1433,0.2914
0.0027,,,,,0.0168,,,,,,0.088,,0.3286,0.0166,,,,,,,,0.0414,,,,,,,,,,,,0.0227,,,,,,,,,,,0.0463,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0134,,0.0001,0.0264,0.0533,0.1425,0.2894
0.0024,,,,,0.0152,,,,,,0.0879,,0.3207,0.0155,,,,,,,,0.0398,,,,,,,,,,,,0.0166,,,,,,,,,,,0.0462,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0133,,0.0001,0.0239,0.0523,0.1345,0.2848
0.002,,,,,0.0147,,,,,,0.0861,,0.3056,0.0125,,,,,,,,0.0345,,,,,,,,,,,,0.0139,,,,,,,,,,,0.0461,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,,0.0001,0.0238,0.052,0.1307,0.2603
0.0017,,,,,0.0137,,,,,,0.0853,,0.2727,0.0103,,,,,,,,0.0307,,,,,,,,,,,,0.0125,,,,,,,,,,,0.0428,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0121,,0.0001,0.0226,0.0446,0.1188,0.2196
