ABUS-US,ACST-CA,ADVZ-CA,AEZS-CA,AKU-CA,APS-CA,AQS-CA,ARCH-CA,ASG-CA,ASP-CA,ATE-CA,AUP-CA,BCT-CA,BHC-US,BLU-CA,BNKL-US,BTI-CA,CHH-CA,CORV-CA,COV-CA,CPH-CA,CRDL-CA,CRH-CA,CTTH-US,CTX-CA,CZO-CA,DR-CA,EBM-CA,EDT-CA,EPI-CA,ETBI-US,FRX-CA,GSD-CA,GTMS-CA,GUD-CA,HBP-CA,HLS-CA,HSDT-US,HTL-CA,ICO-CA,IDL-CA,IGXT-US,IMV-CA,IN-CA,IPA-CA,JWEL-CA,KLY-CA,KNE-CA,LMNL-CA,MDNA-CA,MDP-CA,MDX-CA,MIMI-CA,MIR-CA,MIST-US,MPH-CA,NGEN-CA,NRI-CA,NSHS-CA,NVCN-CA,NVLNF-US,ONCY-USA,OPS-CA,PMN-CA,PRN-CA,PTQ-CA,QPT-CA,RVX-CA,RX-CA,SBM-CA,SQD-CA,SVA-CA,TBP-CA,TH-CA,TLT-CA,TMD-CA,VBIV-US,VMD-CA,XENE-US,ZYME-US
,,439,,,,,,,,,6317,,280391,,,,,,,,,,,,,,,,,,,,,44000,,,,,,,,,,,65322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13543,,,17000
,,430,,,,,,,,,4923,,280321,,,,,,,,,,,,,,,,,,,,,41500,,,,,,,,,,,63500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13103,,,16315
,,413,,,,,,,,,4800,,268992,,,,,,,,,,,,,,,,,,,,,41400,,,,,,,,,,,61254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12101,,,16300
,,214,,,,,,,,,4000,,268942,,,,,,,,,,,,,,,,,,,,,40798,,,,,,,,,,,60200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11572,,,15291
,,214,,,,,,,,,3828,,256100,,,,,,,,,,,,,,,,,,,,,40546,,,,,,,,,,,58113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11364,,,15192
,,65,,,,,,,,,3711,,243059,,,,,,,,,,,,,,,,,,,,,40310,,,,,,,,,,,54500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10613,,,13900
,,53,,,,,,,,,3651,,240279,,,,,,,,,,,,,,,,,,,,,38175,,,,,,,,,,,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10485,,,13242
,,52,,,,,,,,,3600,,219100,,,,,,,,,,,,,,,,,,,,,37072,,,,,,,,,,,49408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9724,,,12863
,,52,,,,,,,,,3582,,213760,,,,,,,,,,,,,,,,,,,,,35155,,,,,,,,,,,49030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9400,,,12812
,,,,,,,,,,,3261,,209630,,,,,,,,,,,,,,,,,,,,,34300,,,,,,,,,,,47533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8929,,,12000
,,,,,,,,,,,3000,,200000,,,,,,,,,,,,,,,,,,,,,32998,,,,,,,,,,,45630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8884,,,11723
,,,,,,,,,,,2392,,198392,,,,,,,,,,,,,,,,,,,,,31453,,,,,,,,,,,44215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8692,,,10928
,,,,,,,,,,,2319,,195373,,,,,,,,,,,,,,,,,,,,,31400,,,,,,,,,,,41752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7580,,,10791
,,,,,,,,,,,2061,,194900,,,,,,,,,,,,,,,,,,,,,30762,,,,,,,,,,,40134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7522,,,10700
,,,,,,,,,,,1969,,182755,,,,,,,,,,,,,,,,,,,,,28671,,,,,,,,,,,39378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7496,,,10415
,,,,,,,,,,,1228,,181238,,,,,,,,,,,,,,,,,,,,,23582,,,,,,,,,,,37300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7076,,,10400
,,,,,,,,,,,780,,178363,,,,,,,,,,,,,,,,,,,,,23376,,,,,,,,,,,35632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7066,,,10000
,,,,,,,,,,,737,,174014,,,,,,,,,,,,,,,,,,,,,22512,,,,,,,,,,,32650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7064,,,9477
,,,,,,,,,,,568,,172267,,,,,,,,,,,,,,,,,,,,,22300,,,,,,,,,,,32642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6513,,,9300
,,,,,,,,,,,567,,163406,,,,,,,,,,,,,,,,,,,,,21069,,,,,,,,,,,30375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6200,,,9195
,,,,,,,,,,,526,,152084,,,,,,,,,,,,,,,,,,,,,21000,,,,,,,,,,,30337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5947,,,9187
